Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000107,Female,No,0,Not Graduate,Yes,10991,6999,478,360,1,Urban,Y
LP000108,Female,Yes,3+,Not Graduate,No,14612,2970,214,240,0,Rural,N
LP000109,Female,No,1,Graduate,No,24266,11,359,180,1,Urban,Y
LP000110,Male,No,0,Graduate,Yes,13285,7824,567,300,1,Rural,N
LP000111,Female,No,0,Graduate,No,2468,761,63,240,1,Rural,N
LP000112,Male,No,2,Not Graduate,No,1868,3185,181,300,1,Rural,N
LP000113,Female,No,2,Graduate,No,9924,25,488,300,0,Semiurban,N
LP000114,Female,No,1,Not Graduate,No,3742,1806,312,240,0,Rural,N
LP000115,Male,No,3+,Graduate,Yes,22886,6651,692,180,0,Semiurban,N
LP000116,Female,No,1,Not Graduate,No,4583,5664,274,300,1,Rural,Y
LP000117,Male,No,3+,Graduate,Yes,14822,5154,307,240,1,Semiurban,Y
LP000118,Female,Yes,0,Graduate,No,2969,5824,283,180,1,Semiurban,Y
LP000119,Female,Yes,2,Not Graduate,No,6225,3659,385,240,1,Urban,Y
LP000120,Male,Yes,1,Graduate,No,5759,1525,458,180,1,Rural,Y
LP000121,Female,Yes,1,Not Graduate,Yes,5122,760,73,300,1,Semiurban,Y
LP000122,Male,Yes,3+,Graduate,No,11792,594,320,360,0,Urban,N
LP000123,Female,No,3+,Graduate,No,18707,7192,144,240,0,Rural,N
LP000124,Male,No,1,Not Graduate,Yes,4931,1055,191,300,1,Urban,Y
LP000125,Male,No,3+,Not Graduate,Yes,24412,3083,130,240,1,Semiurban,Y
LP000126,Female,No,1,Graduate,Yes,5651,3675,323,240,1,Urban,Y
LP000127,Female,No,1,Graduate,Yes,5713,9650,325,180,1,Urban,Y
LP000128,Male,No,1,Graduate,No,16735,5957,514,240,1,Rural,N
LP000129,Female,No,0,Graduate,No,10489,5255,257,180,1,Semiurban,Y
LP000130,Female,Yes,3+,Graduate,No,2279,9411,345,300,1,Rural,N
LP000131,Female,Yes,2,Graduate,No,16851,4228,88,240,1,Rural,Y
LP000132,Male,Yes,2,Not Graduate,Yes,12542,4181,337,300,1,Urban,Y
LP000133,Male,Yes,3+,Not Graduate,No,20776,9691,173,360,0,Semiurban,N
LP000134,Male,No,1,Not Graduate,No,7034,1830,332,300,1,Rural,Y
LP000135,Male,No,2,Graduate,No,4806,3395,229,240,0,Semiurban,N
LP000136,Male,No,2,Graduate,No,4402,1203,146,360,1,Rural,Y
LP000137,Male,Yes,3+,Graduate,Yes,14891,2810,240,180,1,Urban,Y
LP000138,Male,No,2,Not Graduate,No,5218,3092,123,360,1,Rural,Y
LP000139,Male,No,1,Not Graduate,No,1521,3044,496,240,1,Rural,N
LP000140,Male,No,3+,Graduate,No,3000,6071,546,240,1,Rural,N
LP000141,Female,Yes,1,Graduate,Yes,10534,7272,610,300,1,Semiurban,N
LP000142,Male,No,2,Not Graduate,Yes,17299,4673,533,180,1,Urban,N
LP000143,Female,Yes,2,Not Graduate,No,5141,3514,165,240,1,Semiurban,Y
LP000144,Female,Yes,1,Not Graduate,No,23096,9990,584,240,0,Rural,N
LP000145,Female,Yes,0,Graduate,No,1691,6192,147,180,1,Urban,N
LP000146,Male,Yes,2,Graduate,Yes,14806,144,377,180,0,Semiurban,N
LP000147,Male,No,0,Graduate,No,14914,7507,456,300,1,Rural,Y
LP000148,Male,Yes,2,Not Graduate,No,10087,4857,362,360,0,Urban,N
LP000149,Male,Yes,0,Not Graduate,No,22998,1377,197,180,0,Urban,N
LP000150,Female,No,0,Graduate,Yes,6162,3146,391,240,1,Rural,Y
LP000151,Male,No,0,Graduate,No,5826,5024,544,180,1,Urban,N
LP000152,Male,Yes,1,Not Graduate,No,10565,793,72,240,1,Urban,Y
LP000153,Male,No,0,Graduate,Yes,22219,9793,154,300,1,Semiurban,Y
LP000154,Male,Yes,0,Not Graduate,Yes,11971,5756,628,360,1,Urban,N
LP000155,Male,Yes,0,Not Graduate,No,14141,4414,607,300,1,Semiurban,N
LP000156,Female,Yes,2,Graduate,Yes,10696,1110,642,180,0,Semiurban,N
LP000157,Male,Yes,0,Not Graduate,No,14226,5672,271,240,0,Semiurban,N
LP000158,Female,No,2,Graduate,Yes,23378,4053,64,180,1,Semiurban,Y
LP000159,Male,Yes,0,Not Graduate,Yes,17151,3937,682,180,1,Urban,N
LP000160,Female,No,0,Not Graduate,No,10036,3963,127,180,1,Urban,Y
LP000161,Male,No,1,Graduate,No,20595,4942,371,180,1,Semiurban,Y
LP000162,Male,No,2,Not Graduate,No,14444,5897,290,360,1,Urban,Y
LP000163,Female,No,0,Graduate,Yes,7773,8974,67,240,1,Semiurban,Y
LP000164,Female,Yes,2,Graduate,No,7784,1116,503,180,0,Semiurban,N
LP000165,Female,No,2,Not Graduate,No,10317,1750,492,240,1,Semiurban,Y
LP000166,Male,Yes,3+,Graduate,No,21878,4027,326,360,1,Rural,Y
LP000167,Female,No,1,Graduate,No,19562,5745,473,240,1,Urban,Y
LP000168,Male,No,1,Graduate,No,9914,5064,525,240,1,Urban,N
LP000169,Male,Yes,1,Graduate,Yes,18627,9679,76,360,1,Semiurban,Y
LP000170,Female,Yes,3+,Graduate,No,18346,5938,563,180,1,Urban,N
LP000171,Female,Yes,3+,Graduate,No,19452,3397,513,240,1,Semiurban,N
LP000172,Male,No,1,Not Graduate,Yes,13039,8265,412,300,1,Urban,Y
LP000173,Male,No,3+,Graduate,No,15493,1359,432,240,1,Semiurban,Y
LP000174,Female,Yes,3+,Not Graduate,No,14951,9283,574,180,1,Semiurban,N
LP000175,Female,Yes,3+,Not Graduate,No,16192,4853,431,300,1,Rural,Y
LP000176,Female,Yes,1,Graduate,No,19620,1941,233,180,1,Semiurban,Y
LP000177,Male,Yes,1,Not Graduate,No,14834,3148,243,240,1,Rural,Y
LP000178,Male,No,1,Not Graduate,Yes,9403,7933,511,360,0,Urban,N
LP000179,Male,Yes,3+,Graduate,Yes,17129,9436,105,180,1,Urban,Y
LP000180,Male,Yes,1,Graduate,Yes,24886,1285,279,180,0,Rural,N
LP000181,Male,Yes,3+,Graduate,No,19240,6474,538,360,1,Urban,N
LP000182,Male,Yes,0,Not Graduate,Yes,2514,770,77,240,1,Rural,Y
LP000183,Female,No,3+,Not Graduate,No,12360,1843,632,180,1,Urban,N
LP000184,Male,Yes,2,Graduate,No,18938,73,233,240,1,Rural,Y
LP000185,Male,No,1,Graduate,No,3264,1660,474,240,1,Rural,Y
LP000186,Male,Yes,1,Not Graduate,Yes,7509,4349,424,240,1,Semiurban,Y
LP000187,Female,Yes,2,Not Graduate,Yes,22342,7102,90,360,1,Urban,Y
LP000188,Male,No,3+,Not Graduate,Yes,11104,8000,533,240,1,Semiurban,N
LP000189,Male,Yes,0,Not Graduate,No,17512,9011,309,240,1,Rural,Y
LP000190,Female,No,2,Graduate,Yes,2167,3818,490,300,1,Semiurban,N
LP000191,Male,No,2,Not Graduate,No,4870,331,133,300,1,Rural,Y
LP000192,Male,Yes,3+,Not Graduate,Yes,7476,1421,95,300,1,Urban,Y
LP000193,Male,No,1,Not Graduate,Yes,19278,7512,489,180,1,Urban,Y
LP000194,Male,No,3+,Not Graduate,No,21954,6890,568,180,1,Urban,N
LP000195,Male,No,2,Graduate,No,24866,4931,487,300,1,Rural,Y
LP000196,Female,No,2,Graduate,Yes,10113,9883,185,360,1,Semiurban,Y
LP000197,Female,No,1,Not Graduate,Yes,7099,6025,232,360,1,Urban,Y
LP000198,Female,No,1,Not Graduate,Yes,5150,4408,221,300,1,Rural,Y
LP000199,Male,No,1,Graduate,No,13849,5113,639,180,1,Semiurban,N
LP000200,Male,No,3+,Graduate,No,11394,8419,588,180,1,Rural,N
LP000201,Male,Yes,1,Not Graduate,Yes,21504,2881,169,360,1,Rural,Y
LP000202,Female,Yes,2,Not Graduate,Yes,4690,2865,330,240,0,Urban,N
LP000203,Male,No,2,Graduate,No,16845,2575,357,360,1,Rural,Y
LP000204,Male,Yes,0,Graduate,Yes,10289,6185,326,240,1,Rural,Y
LP000205,Female,No,3+,Graduate,No,1891,8656,579,180,1,Semiurban,N
LP000206,Male,No,0,Graduate,No,18959,5741,344,180,1,Urban,Y
LP000207,Female,Yes,2,Graduate,No,4150,277,102,300,1,Rural,Y
LP000208,Female,No,0,Graduate,No,15100,65,481,180,1,Rural,Y
LP000209,Female,No,2,Not Graduate,No,15817,4262,101,240,1,Semiurban,Y
LP000210,Male,No,0,Graduate,No,20268,5704,121,360,1,Rural,Y
LP000211,Male,No,1,Graduate,Yes,18693,8594,77,300,1,Rural,Y
LP000212,Male,Yes,0,Graduate,No,17063,7989,518,240,1,Rural,N
LP000213,Male,No,1,Graduate,No,23385,6255,596,360,1,Rural,N
LP000214,Male,No,1,Not Graduate,Yes,8395,7441,450,360,1,Rural,Y
LP000215,Male,No,3+,Not Graduate,No,19043,4692,250,360,1,Semiurban,Y
LP000216,Male,Yes,1,Graduate,Yes,3031,4419,660,180,1,Rural,N
LP000217,Female,No,1,Not Graduate,No,6981,7960,515,360,0,Rural,N
LP000218,Male,Yes,0,Not Graduate,Yes,22860,6078,644,180,1,Rural,N
LP000219,Female,Yes,2,Not Graduate,Yes,23579,1437,609,360,1,Rural,N
LP000220,Male,No,3+,Not Graduate,No,12374,8620,428,360,1,Urban,Y
LP000221,Male,No,1,Not Graduate,No,21432,7032,226,180,1,Urban,Y
LP000222,Male,Yes,3+,Not Graduate,No,7663,5731,101,180,1,Urban,Y
LP000223,Female,No,0,Graduate,No,24555,3378,128,240,1,Urban,Y
LP000224,Female,Yes,1,Graduate,Yes,6764,8584,434,360,1,Semiurban,Y
LP000225,Female,Yes,0,Graduate,Yes,19115,6347,625,180,1,Urban,N
LP000226,Female,No,3+,Graduate,Yes,17390,6401,57,240,1,Semiurban,Y
LP000227,Male,No,0,Graduate,No,20307,6629,263,240,1,Urban,Y
LP000228,Female,Yes,3+,Not Graduate,Yes,13267,4541,74,180,1,Semiurban,Y
LP000229,Male,Yes,0,Graduate,No,9571,7876,499,360,1,Urban,Y
LP000230,Male,Yes,3+,Graduate,No,22145,8533,506,240,1,Rural,N
LP000231,Female,Yes,2,Not Graduate,Yes,17040,8324,510,360,1,Urban,N
LP000232,Female,No,0,Not Graduate,No,4408,264,247,360,1,Urban,Y
LP000233,Female,No,0,Graduate,Yes,6212,9877,143,240,1,Urban,Y
LP000234,Female,No,2,Not Graduate,No,24639,1434,486,180,1,Rural,Y
LP000235,Female,No,2,Not Graduate,Yes,13690,5327,576,360,1,Semiurban,N
LP000236,Female,No,0,Not Graduate,No,21767,5097,427,300,1,Semiurban,Y
LP000237,Female,Yes,2,Not Graduate,Yes,21399,1660,636,180,1,Rural,N
LP000238,Female,No,1,Graduate,Yes,21287,5692,153,240,1,Urban,Y
LP000239,Male,No,3+,Not Graduate,No,22482,2354,676,300,1,Urban,N
LP000240,Female,No,3+,Graduate,No,22892,8457,88,360,1,Urban,Y
LP000241,Female,No,3+,Graduate,Yes,24106,6461,507,180,1,Semiurban,N
LP000242,Male,No,1,Not Graduate,No,11650,9328,413,300,0,Semiurban,N
LP000243,Female,Yes,2,Not Graduate,No,21893,7044,184,180,1,Rural,Y
LP000244,Male,Yes,2,Not Graduate,No,20619,5497,423,360,1,Rural,Y
LP000245,Male,Yes,0,Graduate,Yes,5991,4549,281,180,1,Semiurban,Y
LP000246,Female,No,2,Not Graduate,Yes,15419,6334,88,300,1,Urban,Y
LP000247,Male,Yes,0,Not Graduate,No,15668,6010,96,180,0,Urban,N
LP000248,Male,Yes,1,Not Graduate,No,10093,4926,85,240,1,Urban,Y
LP000249,Male,No,3+,Not Graduate,Yes,18858,9582,144,240,1,Urban,Y
LP000250,Male,No,3+,Not Graduate,No,18107,9304,410,300,1,Rural,Y
LP000251,Female,No,3+,Graduate,Yes,6113,6065,574,180,1,Rural,N
LP000252,Male,Yes,2,Not Graduate,No,24661,2179,195,300,0,Semiurban,N
LP000253,Female,Yes,0,Not Graduate,No,22095,4967,417,180,0,Rural,N
LP000254,Male,No,0,Not Graduate,No,12926,634,114,360,1,Urban,Y
LP000255,Male,No,1,Graduate,Yes,18109,3631,277,240,1,Semiurban,Y
LP000256,Male,Yes,2,Not Graduate,Yes,9683,9591,569,360,1,Rural,N
LP000257,Male,Yes,1,Graduate,Yes,22161,4677,604,180,1,Rural,N
LP000258,Female,No,0,Graduate,Yes,19225,2218,230,360,1,Rural,Y
LP000259,Female,No,0,Not Graduate,No,21920,1389,550,300,1,Rural,N
LP000260,Male,Yes,3+,Not Graduate,No,9901,4276,646,300,0,Rural,N
LP000261,Male,No,2,Not Graduate,Yes,5227,1249,204,180,1,Urban,Y
LP000262,Female,Yes,0,Graduate,No,15203,7640,584,240,1,Urban,N
LP000263,Male,Yes,3+,Graduate,No,21812,5712,676,300,1,Urban,N
LP000264,Male,Yes,2,Graduate,Yes,20687,1245,484,240,0,Rural,N
LP000265,Male,Yes,1,Graduate,No,24442,8245,148,180,1,Semiurban,Y
LP000266,Female,No,2,Graduate,No,11718,442,665,240,1,Urban,N
LP000267,Female,No,2,Graduate,Yes,1893,6976,421,180,1,Urban,N
LP000268,Female,Yes,0,Not Graduate,No,24723,4675,612,360,0,Rural,N
LP000269,Male,Yes,0,Not Graduate,No,17492,7953,411,180,0,Semiurban,N
LP000270,Male,Yes,2,Graduate,No,10535,4377,161,360,1,Urban,Y
LP000271,Female,Yes,0,Not Graduate,Yes,11216,7058,502,180,1,Urban,N
LP000272,Female,Yes,0,Not Graduate,Yes,10295,822,218,300,1,Semiurban,Y
LP000273,Female,No,0,Graduate,No,2081,2939,633,300,1,Rural,N
LP000274,Female,No,3+,Graduate,No,15830,7096,188,240,1,Semiurban,Y
LP000275,Male,No,3+,Not Graduate,No,11631,5765,280,180,1,Rural,Y
LP000276,Female,No,2,Graduate,Yes,1632,1031,288,180,1,Urban,N
LP000277,Male,Yes,0,Graduate,Yes,20722,562,302,180,0,Semiurban,N
LP000278,Female,Yes,3+,Not Graduate,Yes,16484,340,485,240,1,Semiurban,Y
LP000279,Male,Yes,2,Graduate,No,4885,4567,610,300,1,Urban,N
LP000280,Female,Yes,0,Not Graduate,No,5270,7862,471,180,1,Urban,Y
LP000281,Female,Yes,1,Not Graduate,No,3768,2296,352,240,0,Rural,N
LP000282,Female,No,0,Not Graduate,No,2475,234,121,180,1,Urban,N
LP000283,Female,Yes,0,Not Graduate,No,9105,5202,312,360,1,Urban,Y
LP000284,Male,No,3+,Not Graduate,Yes,8713,9308,271,180,1,Semiurban,Y
LP000285,Female,No,2,Graduate,No,12955,9609,126,360,1,Rural,Y
LP000286,Male,No,2,Graduate,No,4335,1291,111,240,1,Urban,Y
LP000287,Male,No,3+,Graduate,No,4238,4727,520,240,0,Semiurban,N
LP000288,Male,Yes,0,Graduate,Yes,11049,8720,206,300,0,Urban,N
LP000289,Male,No,1,Not Graduate,No,5634,2939,174,180,0,Urban,N
LP000290,Female,No,0,Not Graduate,Yes,8333,5435,210,240,1,Urban,Y
LP000291,Male,No,0,Graduate,Yes,9853,6981,590,300,0,Urban,N
LP000292,Male,Yes,1,Not Graduate,Yes,17190,5392,675,180,0,Rural,N
LP000293,Male,Yes,3+,Graduate,Yes,3409,9521,640,240,0,Semiurban,N
LP000294,Female,Yes,2,Graduate,Yes,15996,7972,584,360,1,Semiurban,N
LP000295,Female,No,3+,Graduate,No,13562,1233,155,240,1,Urban,Y
LP000296,Female,No,3+,Not Graduate,No,11350,9945,180,360,1,Semiurban,Y
LP000297,Female,Yes,0,Not Graduate,Yes,3463,2800,406,300,0,Urban,N
LP000298,Male,No,2,Not Graduate,Yes,6653,2775,51,300,1,Semiurban,Y
LP000299,Male,Yes,2,Not Graduate,Yes,11981,6044,282,180,1,Rural,Y
LP000300,Female,Yes,3+,Graduate,No,2466,3487,418,180,0,Rural,N
LP000301,Male,No,1,Not Graduate,No,2389,7383,300,180,1,Semiurban,N
LP000302,Male,No,3+,Not Graduate,Yes,20945,3850,157,300,1,Urban,Y
LP000303,Male,No,1,Not Graduate,No,7961,4997,325,360,0,Urban,N
LP000304,Female,No,2,Graduate,No,7666,890,229,180,0,Urban,N
LP000305,Female,Yes,3+,Graduate,Yes,24851,5920,342,180,1,Urban,Y
LP000306,Male,Yes,0,Not Graduate,Yes,17506,1188,633,300,0,Rural,N
LP000307,Female,Yes,3+,Not Graduate,No,12881,5644,224,360,1,Urban,Y
LP000308,Female,Yes,2,Not Graduate,No,17844,740,172,240,1,Urban,Y
LP000309,Female,Yes,0,Not Graduate,No,12440,1369,276,180,1,Urban,Y
LP000310,Female,No,0,Graduate,Yes,12758,9581,493,240,1,Urban,Y
LP000311,Female,Yes,1,Not Graduate,Yes,8780,2000,477,240,1,Rural,Y
LP000312,Male,Yes,0,Not Graduate,Yes,2567,1471,132,180,1,Semiurban,Y
LP000313,Female,Yes,0,Not Graduate,No,22107,1536,681,300,0,Semiurban,N
LP000314,Male,No,3+,Graduate,No,12615,318,114,180,1,Urban,Y
LP000315,Male,No,2,Graduate,Yes,10518,5153,330,360,0,Urban,N
LP000316,Female,No,1,Not Graduate,No,17253,1894,440,360,1,Semiurban,Y
LP000317,Male,No,3+,Not Graduate,Yes,15678,7991,477,180,1,Rural,Y
LP000318,Male,Yes,0,Not Graduate,No,16687,9467,667,240,0,Rural,N
LP000319,Male,Yes,0,Not Graduate,Yes,6107,8592,156,360,0,Rural,N
LP000320,Female,No,1,Not Graduate,No,5485,5935,597,360,1,Rural,N
LP000321,Female,No,2,Graduate,No,11784,723,311,180,1,Rural,Y
LP000322,Male,Yes,1,Graduate,Yes,21063,2329,208,180,1,Rural,Y
LP000323,Female,Yes,3+,Graduate,Yes,16054,9327,314,300,1,Rural,Y
LP000324,Female,No,1,Not Graduate,Yes,6038,2770,517,180,0,Rural,N
LP000325,Female,No,0,Graduate,Yes,20246,7545,251,180,1,Rural,Y
LP000326,Female,No,3+,Graduate,Yes,20108,4846,204,360,1,Urban,Y
LP000327,Male,No,0,Graduate,No,7871,267,62,360,1,Rural,Y
LP000328,Male,Yes,2,Not Graduate,Yes,3226,569,346,360,1,Urban,Y
LP000329,Female,Yes,0,Not Graduate,Yes,7291,1973,547,240,1,Semiurban,N
LP000330,Female,Yes,0,Graduate,Yes,9958,8737,646,360,1,Urban,N
LP000331,Male,No,1,Not Graduate,Yes,24897,2822,294,360,1,Semiurban,Y
LP000332,Male,No,0,Graduate,Yes,18721,4460,349,180,1,Urban,Y
LP000333,Female,Yes,3+,Graduate,No,17238,270,411,300,1,Semiurban,Y
LP000334,Male,Yes,3+,Graduate,Yes,22468,7641,403,360,1,Urban,Y
LP000335,Female,Yes,2,Graduate,Yes,18570,8930,570,300,0,Urban,N
LP000336,Female,Yes,3+,Not Graduate,Yes,18240,6680,435,360,0,Semiurban,N
